freq,currency,nace_r2,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,MIO_EUR,A,BG42	: 	: 	: 	: 	: 	12.81 	36.55 	16.05 	46.06 	46.31 	35.38 	35.46 	41.9 	75.18 	44.81 	56.79 	67.78 	62.3 	70.58 	82.98 	104.06 	71.32 	95.58 	93.33 	94.92 	: 
A,MIO_EUR,A,CY	: 	: 	: 	: 	: 	82.51 	89.26 	80.1 	75.8 	65.37 	60.16 	56.01 	42.62 	39.37 	29.16 	28.87 	26.84 	32.95 	11.02 	24.7 	14.57 	24.17 	28.15 	29.37 	30.7 	29.31 
A,MIO_EUR,A,CY0	: 	: 	: 	: 	: 	82.51 	89.26 	80.1 	75.8 	65.37 	60.16 	56.01 	42.62 	39.37 	29.16 	28.87 	26.84 	32.95 	11.02 	24.7 	14.57 	24.17 	28.15 	29.37 	30.7 	29.31 
A,MIO_EUR,A,CY00	: 	: 	: 	: 	: 	82.51 	89.26 	80.1 	75.8 	65.37 	60.16 	56.01 	42.62 	39.37 	29.16 	28.87 	26.84 	32.95 	11.02 	24.7 	14.57 	24.17 	28.15 	29.37 	30.7 	29.31 
A,MIO_EUR,A,CZ	645.35 	742.11 	522.66 	520.51 	404.16 	523.41 	690.38 	726.07 	533.03 	623.75 	667.58 	751.53 	1008.18 	1039.28 	800.38 	974.96 	1178 	1569.76 	1427.02 	1354.99 	1128.19 	1455.28 	1647.84 	1653.14 	1756.21 	1488.64 
A,MIO_EUR,A,CZ0	645.35 	742.11 	522.66 	520.51 	404.16 	523.41 	690.38 	726.07 	533.03 	623.75 	667.58 	751.53 	1008.18 	1039.28 	800.38 	974.96 	1178 	1569.76 	1427.02 	1354.99 	1128.19 	1455.28 	1647.84 	1653.14 	1756.21 	1488.64 
A,MIO_EUR,A,CZ01	1.96 	1.31 	2.92 	3.52 	0.62 	8.9 	37.92 	7.37 	3.17 	4.92 	5.07 	6.63 	12.07 	7.14 	17.33 	15.07 	30.58 	53.68 	48.34 	51.39 	40.25 	67.25 	74.26 	85.7 	62.56 	58.82 
A,MIO_EUR,A,CZ02	87.36 	95.37 	63.04 	62.8 	48.1 	66.57 	93.99 	98.01 	63.78 	83.66 	83.44 	147.66 	149.82 	169.41 	101.68 	142.82 	174.5 	207.8 	202.35 	183.4 	150.34 	213.1 	232.55 	223.69 	217.3 	193.8 
A,MIO_EUR,A,CZ03	127.39 	141.45 	101.36 	109.02 	108.56 	96.66 	125.69 	137.06 	101.9 	140.23 	142.67 	141.63 	215.98 	213.5 	163.8 	188.5 	214.97 	291.9 	247.04 	250.47 	210.97 	276.06 	307.19 	296.53 	326.57 	278.66 
A,MIO_EUR,A,CZ04	37.53 	32.19 	43.47 	39.2 	18.33 	29.05 	32.52 	53.43 	30.11 	29.51 	30.22 	27.87 	47.04 	44.3 	45.96 	58.81 	88.49 	99.77 	106.51 	120.17 	89.59 	117.22 	112.51 	108 	121.35 	96.69 
A,MIO_EUR,A,CZ05	117.54 	149.52 	82.3 	89.57 	57.15 	89.41 	109.87 	126.74 	95.9 	114.99 	122.05 	118.62 	152.09 	175.5 	126.92 	176.24 	202.68 	287.65 	237.53 	218.95 	191.94 	230.38 	257.96 	272.9 	269.54 	229.33 
A,MIO_EUR,A,CZ06	136.15 	161.59 	118.12 	110.21 	78.16 	121.13 	163.91 	176.28 	134.27 	133.71 	155.46 	181.6 	244.4 	233.99 	203.59 	224.02 	273.49 	388.52 	345.38 	318.38 	244.36 	299.7 	385.21 	379.69 	430.78 	371.57 
A,MIO_EUR,A,CZ07	79.98 	108.25 	74.9 	74.09 	61.03 	71.21 	85.53 	90.61 	68.49 	78.05 	83.88 	92.55 	133 	134.41 	104.22 	115.53 	121.96 	157.98 	156.08 	144.54 	131.97 	182.18 	190.12 	195.15 	229.92 	178.79 
A,MIO_EUR,A,CZ08	57.44 	52.44 	36.54 	32.1 	32.21 	40.48 	40.95 	36.59 	35.42 	38.73 	44.83 	34.93 	53.77 	61.05 	36.85 	53.99 	71.33 	82.47 	83.8 	67.69 	68.77 	69.39 	88.05 	91.47 	98.21 	80.97 
A,MIO_EUR,A,DE	: 	: 	: 	: 	: 	6744 	6800.16 	6646.01 	5967.62 	5985.2 	7280.85 	8640.14 	8443.89 	9745.95 	8948.13 	8069.33 	9965.33 	9513.23 	9677.37 	9707.9 	9550.92 	9098.88 	9510 	9642.66 	9897.84 	: 
A,MIO_EUR,A,DE1	: 	: 	: 	: 	: 	687.76 	694.51 	633.4 	616.46 	564.01 	737.7 	832.38 	751.78 	826.27 	702.58 	761.32 	923.42 	907.53 	904.62 	882.47 	889.17 	857.01 	961.35 	928.53 	1043.47 	: 
A,MIO_EUR,A,DE11	: 	: 	: 	: 	: 	248.96 	278.53 	222.63 	220.62 	195.34 	265.14 	296.4 	253.08 	277.17 	248.33 	266.31 	291.5 	299.73 	296.32 	313.02 	286 	295.38 	315.02 	312.83 	335.48 	: 
